matricula,variable,modo,periodo,valor
14,INT,inv,end,5
14,INT,ia,end,5
15,INT,general,start,5
15,INT,inv,start,5
15,INT,ia,start,5
15,INT,general,end,5
15,INT,inv,end,5
15,INT,ia,end,5
16,INT,general,start,5
16,INT,inv,start,5
16,INT,ia,start,5
16,INT,general,end,5
16,INT,inv,end,5
16,INT,ia,end,5
17,INT,general,start,5
17,INT,inv,start,5
17,INT,ia,start,5
17,INT,general,end,4
17,INT,inv,end,4
17,INT,ia,end,4
18,INT,general,start,5
18,INT,inv,start,5
18,INT,ia,start,5
18,INT,general,end,5
18,INT,inv,end,5
18,INT,ia,end,5
19,INT,general,start,5
19,INT,inv,start,5
19,INT,ia,start,5
19,INT,general,end,5
19,INT,inv,end,5
19,INT,ia,end,5
20,INT,general,start,5
20,INT,inv,start,5
20,INT,ia,start,5
20,INT,general,end,5
20,INT,inv,end,5
20,INT,ia,end,5
21,INT,general,start,5
21,INT,inv,start,5
21,INT,ia,start,5
21,INT,general,end,5
21,INT,inv,end,5
21,INT,ia,end,5
22,INT,general,start,5
22,INT,inv,start,5
22,INT,ia,start,5
22,INT,general,end,5
22,INT,inv,end,5
22,INT,ia,end,5
23,INT,general,start,5
23,INT,inv,start,5
23,INT,ia,start,5
23,INT,general,end,4
23,INT,inv,end,4
23,INT,ia,end,4
24,INT,general,start,4
24,INT,inv,start,4
24,INT,ia,start,5
24,INT,general,end,4
24,INT,inv,end,4
24,INT,ia,end,4
1,BB,general,start,4
1,BB,inv,start,4
1,BB,ia,start,4
1,BB,general,end,5
1,BB,inv,end,5
1,BB,ia,end,5
2,BB,general,start,5
2,BB,inv,start,5
2,BB,ia,start,5
2,BB,general,end,5
2,BB,inv,end,5
2,BB,ia,end,5
3,BB,general,start,4
3,BB,inv,start,4
3,BB,ia,start,5
3,BB,general,end,4
3,BB,inv,end,4
3,BB,ia,end,4
4,BB,general,start,5
4,BB,inv,start,5
4,BB,ia,start,5
4,BB,general,end,5
4,BB,inv,end,5
4,BB,ia,end,5
5,BB,general,start,5
5,BB,inv,start,5
5,BB,ia,start,5
5,BB,general,end,5
5,BB,inv,end,5
5,BB,ia,end,5
6,BB,general,start,5
6,BB,inv,start,5
6,BB,ia,start,5
6,BB,general,end,5
6,BB,inv,end,5
6,BB,ia,end,4
7,BB,general,start,5
7,BB,inv,start,3
7,BB,ia,start,5
7,BB,general,end,4
7,BB,inv,end,4
7,BB,ia,end,4
8,BB,general,start,4
8,BB,inv,start,4
8,BB,ia,start,4
8,BB,general,end,4
8,BB,inv,end,5
8,BB,ia,end,4
9,BB,general,start,5
9,BB,inv,start,5
9,BB,ia,start,5
9,BB,general,end,5
9,BB,inv,end,4
9,BB,ia,end,5
10,BB,general,start,5
10,BB,inv,start,5
10,BB,ia,start,5
10,BB,general,end,4
10,BB,inv,end,4
10,BB,ia,end,4
11,BB,general,start,5
11,BB,inv,start,5
11,BB,ia,start,5
11,BB,general,end,5
11,BB,inv,end,4
11,BB,ia,end,5
12,BB,general,start,4
12,BB,inv,start,4
12,BB,ia,start,4
12,BB,general,end,5
12,BB,inv,end,5
12,BB,ia,end,5
13,BB,general,start,5
13,BB,inv,start,5
13,BB,ia,start,5
13,BB,general,end,5
13,BB,inv,end,5
13,BB,ia,end,5
14,BB,general,start,5
14,BB,inv,start,5
14,BB,ia,start,4
14,BB,general,end,5
14,BB,inv,end,5
14,BB,ia,end,5
15,BB,general,start,5
15,BB,inv,start,5
15,BB,ia,start,5
15,BB,general,end,4
15,BB,inv,end,4
15,BB,ia,end,4
16,BB,general,start,5
16,BB,inv,start,5
16,BB,ia,start,5
16,BB,general,end,5
16,BB,inv,end,5
16,BB,ia,end,5
17,BB,general,start,5
17,BB,inv,start,5
